,exp_dp1,exp_dp2
000,0.0,0.0
001,0.0,0.0
002,0.0,0.0
010,0.0023200000000003626,-0.006819999999999855
011,0.00646000000000101,-0.0020299999999999568
012,0.0,0.0
020,0.004400000000000688,-0.004479999999999904
021,0.006390000000000999,-0.002239999999999952
022,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
110,0.0004000000000000625,-0.005099999999999891
111,0.0016900000000002642,-0.0032999999999999297
112,0.0015500000000002424,-0.0027899999999999405
120,0.002610000000000408,-0.0029899999999999363
121,0.0038400000000006003,-0.0013399999999999714
122,0.003680000000000575,-0.0003899999999999917
200,-0.0014000000000002188,-0.00326999999999993
201,-0.00041000000000006407,-0.001779999999999962
202,0.0,0.0
210,-0.0005400000000000845,-0.0028399999999999394
211,0.00042000000000006567,-0.00039999999999999145
212,0.0017300000000002704,0.0018199999999999612
220,0.004560000000000713,0.004129999999999912
221,0.0008200000000001281,0.0008599999999999817
222,0.002170000000000339,0.002949999999999937
300,-0.002380000000000372,-0.0029899999999999363
301,-0.0006900000000001078,-0.00010999999999999766
302,-0.0044800000000007004,-0.0038599999999999178
310,-0.0017300000000002704,-0.0017699999999999624
311,-0.00032000000000005,0.00040999999999999126
312,0.0006200000000000969,0.002869999999999939
320,0.0,0.0
321,0.0007100000000001109,0.00233999999999995
322,0.0016700000000002611,0.0034499999999999266
400,-0.0034100000000005333,0.0005399999999999885
401,-0.0037700000000005893,0.0013699999999999709
402,-0.0025600000000004,0.003089999999999934
410,-0.0016600000000002596,0.0028999999999999382
411,-0.0020500000000003207,0.0032899999999999297
412,-0.0003800000000000594,0.0051799999999998896
420,0.0,0.0
421,0.0,0.0
422,0.0,0.0
500,0.0,0.0
501,-0.006430000000001005,0.0021899999999999533
502,-0.004060000000000634,0.004899999999999896
510,0.0,0.0
511,-0.006010000000000939,0.0023799999999999494
512,-0.0022400000000003502,0.007279999999999845
520,0.0,0.0
521,0.0,0.0
522,0.0,0.0
